asset_class,asset,model,cv_accuracy,cv_accuracy_std,test_accuracy
Futures,BRIGADE_Options,RandomForest,0.5219512195121951,0.11053921164511864,0.4032258064516129
Futures,BRIGADE_Options,LogisticRegression,0.5048780487804878,0.04729443763333006,0.4596774193548387
Futures,FINNIFTY_Futures,CatBoost,0.47804878048780486,0.08807546383057459,0.5483870967741935
Futures,FINNIFTY_Futures,XGBoost,0.426829268292683,0.06941585107686687,0.5080645161290323
Futures,FINNIFTY_Futures,LightGBM,0.4902439024390244,0.09859211186052554,0.49193548387096775
Futures,FINNIFTY_Futures,RandomForest,0.451219512195122,0.07110916944933295,0.5725806451612904
Futures,FINNIFTY_Futures,LogisticRegression,0.47317073170731705,0.10445177124567735,0.5
Futures,FINNIFTY_Options,CatBoost,0.47804878048780486,0.08807546383057459,0.5483870967741935
Futures,FINNIFTY_Options,XGBoost,0.426829268292683,0.06941585107686687,0.5080645161290323
Futures,FINNIFTY_Options,LightGBM,0.4902439024390244,0.09859211186052554,0.49193548387096775
Futures,FINNIFTY_Options,RandomForest,0.451219512195122,0.07110916944933295,0.5725806451612904
Futures,FINNIFTY_Options,LogisticRegression,0.47317073170731705,0.10445177124567735,0.5
Futures,HDFC_BANK_Futures,CatBoost,0.48292682926829267,0.0878048780487805,0.33064516129032256
Futures,HDFC_BANK_Futures,XGBoost,0.46829268292682935,0.11813542476402278,0.3387096774193548
Futures,HDFC_BANK_Futures,LightGBM,0.4609756097560975,0.07085775144553146,0.33064516129032256
Futures,HDFC_BANK_Futures,RandomForest,0.48048780487804876,0.09145528419147644,0.33064516129032256
Futures,HDFC_BANK_Futures,LogisticRegression,0.4975609756097561,0.12612374120827216,0.4838709677419355
Futures,INFOSYS_Futures,CatBoost,0.4853658536585366,0.05740781607775521,0.4274193548387097
Futures,INFOSYS_Futures,XGBoost,0.426829268292683,0.08961547839450652,0.4274193548387097
Futures,INFOSYS_Futures,LightGBM,0.4414634146341464,0.0853310033391995,0.41935483870967744
Futures,INFOSYS_Futures,RandomForest,0.526829268292683,0.10008919282284484,0.3709677419354839
Futures,INFOSYS_Futures,LogisticRegression,0.4609756097560975,0.07728282691587735,0.4596774193548387
Futures,NIFTY_50_Futures,CatBoost,0.47073170731707314,0.10759387804933063,0.41935483870967744
Futures,NIFTY_50_Futures,XGBoost,0.4853658536585366,0.10558468693616274,0.3951612903225806
Futures,NIFTY_50_Futures,LightGBM,0.48048780487804876,0.08881532417577133,0.4596774193548387
Futures,NIFTY_50_Futures,RandomForest,0.4902439024390244,0.16423166701982853,0.43548387096774194
Futures,NIFTY_50_Futures,LogisticRegression,0.4878048780487805,0.12047891741686312,0.4112903225806452
Futures,NIFTY_50_Options,CatBoost,0.47073170731707314,0.10759387804933063,0.41935483870967744
Futures,NIFTY_50_Options,XGBoost,0.4853658536585366,0.10558468693616274,0.3951612903225806
Futures,NIFTY_50_Options,LightGBM,0.48048780487804876,0.08881532417577133,0.4596774193548387
